N	F0	m	d_ms	d0	v0	prob	collision	Int_dv1	Int_dv2	Int_dv3	Int_dv4	Int_dv5	Int_dv6	Int_dv7	Int_dd2	Int_dd3	Int_dd4	Int_dd5	Int_dd6	Int_dd7	duration	freq	ampl	attack	Fresponse
8	800	1000	1	7	81	0.01	0	32.096830	50.720123	36.802167	26.067501	19.964802	19.008313	18.428085	127.430372	99.053405	94.699822	65.994943	17.817596	8.924516	0.357958	1.328608	4.768319	1	-4326
8	800	1000	1	5	64	0.01	0	47.537869	82.840720	51.723553	22.480979	14.227858	13.432730	12.736761	255.685976	235.026098	216.054308	85.348181	15.537283	12.328324	0.580923	0.884231	4.576601	1	-5543
8	800	1000	1	5	59	0.01	0	26.656733	44.511229	37.247174	26.951980	21.191287	18.524079	17.283750	123.203355	53.985102	82.386052	49.204207	23.046181	13.711009	1.055116	2.383926	1.551561	1	-3703
8	800	1000	1	6	54	0.01	0	53.295622	98.670455	72.213865	41.736701	17.455368	9.719719	6.978609	336.200873	194.428610	226.137475	223.469063	68.430452	29.432153	4.600876	2.155144	0.560564	1	-4453
8	800	1000	1	5	78	0.01	0	41.039343	61.679976	50.132351	35.536765	27.467340	18.866594	14.251142	140.820212	86.506340	110.007310	72.923288	67.634147	34.445012	0.921427	2.140718	2.561098	1	-4810
8	800	1000	1	6	80	0.01	0	48.166693	70.123903	58.055901	39.318526	27.067685	16.317165	13.980308	155.880064	83.213834	150.673004	110.603853	88.827282	20.146244	0.899893	2.656606	2.868175	1	-5315
8	800	1000	1	8	63	0.01	0	52.521869	80.834877	30.552998	18.499063	11.592552	8.793594	7.211323	197.482930	368.997581	87.281158	61.912652	26.791121	17.963411	0.897501	0.583850	2.131108	1	-6899
8	800	1000	1	5	62	0.01	0	76.599527	113.946830	31.876304	50.661756	10.950249	9.697464	8.566213	267.134783	622.624843	179.960975	362.434174	13.261523	14.882273	3.711109	0.506232	2.233421	1	-9029
8	800	1000	1	9	91	0.01	0	88.218426	141.635994	63.414845	39.987859	14.494860	14.724921	12.823698	370.829379	578.779820	171.773072	214.517872	15.145270	26.934561	2.721299	1.523936	4.140156	1	-9385
8	800	1000	1	9	63	0.01	0	7.519957	9.877377	8.017041	6.413929	2.646679	1.611916	0.630972	18.290775	6.095028	6.254278	15.070914	3.734571	4.510607	2.492801	0.392328	4.728767	1	-6051
8	800	1000	1	5	75	0.01	0	82.553580	119.698359	46.150677	32.725382	15.219886	14.278845	13.015169	243.417486	526.476303	107.327816	165.549869	9.108288	27.596642	2.183551	1.089737	4.780679	1	-8780
8	800	1000	1	7	57	0.01	0	42.987000	80.831649	60.114185	40.056834	19.746108	13.786811	12.265553	334.536079	177.926127	150.414278	177.458135	60.763297	21.099102	2.158129	2.361092	1.963973	1	-4196
8	800	1000	1	8	72	0.01	0	83.464750	129.989047	55.917220	45.957718	11.860615	10.657038	9.242218	323.852227	557.973812	76.190640	274.260054	13.228912	23.269988	2.494894	2.989291	2.783166	1	-9256
8	800	1000	1	8	93	0.01	0	104.156941	191.639048	108.559790	58.174589	18.247231	15.711353	13.524520	655.061719	623.222069	382.337630	368.724769	38.818705	28.223599	3.096796	2.402246	3.557039	1	-8434
8	800	1000	1	5	72	0.01	0	78.241879	125.973296	46.417747	30.518460	10.381611	9.658237	8.559991	336.889407	590.654140	107.752403	173.314750	10.180228	14.658947	3.269366	1.026014	2.016846	1	-9773
8	800	1000	1	5	63	0.01	0	64.986568	100.561046	54.162918	39.979310	11.497507	8.560833	6.478375	245.442028	312.103153	154.047891	243.179914	40.148592	20.651309	3.345332	0.467202	0.740608	1	-7206
8	800	1000	1	6	74	0.01	0	99.558465	183.645818	144.233600	86.757185	30.189398	15.026325	11.389471	702.394239	329.036821	478.443760	639.325818	163.651882	41.694558	3.951421	2.978582	2.999603	1	-5615
